feature,mean_abs_shap
Glucose,0.13467656798295558
BMI,0.07548080839091992
Age,0.0547732045863655
DiabetesPedigreeFunction,0.04111456653693025
Insulin,0.034620543609567504
Pregnancies,0.027064756446800176
SkinThickness,0.020425087142068546
BloodPressure,0.01439301139149485
